cpgs	cor	p	Z	t	1
X3.18629226	0.483572747149085	8.72626568752541e-08	5.48336477914822	5.74135888833894	0.0206741447963481
X3.23042530	-0.125782925380713	0.190412681280597	-1.3141344473731	1.31763947633315	-0.00735557765873419
X3.28964158	0.478227072888627	1.26525058887519e-07	5.41109769657817	5.65893478973525	0.00439482071201493
X5.8287623	0.598748930225648	4.88409734319904e-12	7.1831057348763	7.76887963958188	0.0540642185781589
X5.12210312	-0.37283458312449	6.03912144238276e-05	-4.07078319672481	4.17568674091061	-0.0164719392270089
X5.18477654	-0.122072983633472	0.203926562381459	-1.27497818681417	1.27817899827063	-0.00485214314754528
X5.19768173	-0.220716142820046	0.0204983007789663	-2.33212466841887	2.35174804577561	-0.0443630186044056
X6.8996046	-0.191611755206656	0.0449304064558537	-2.01620920154802	2.0288813155964	-0.0144881947755018
X6.21582623	0.486043784334843	7.33349161034017e-08	5.51693487177371	5.77974139757387	0.0398887512655259
X6.25620816	-0.307527002395327	0.00108271567732959	-3.30279712455817	3.35867806477754	-0.0385274508477427
X8.4950110	0.453645098670193	6.45349069512515e-07	5.08475094221139	5.29007080436043	0.0477892010175933
X8.10077940	0.401686598611783	1.36483181601107e-05	4.42357187648662	4.55836812044618	0.0249518890209333
X8.16137370	-0.508429848363701	1.42326731683027e-08	-5.82602946965913	6.13603185389979	-0.0117138478762963
X8.18042860	0.519133635182051	6.2276285711414e-09	5.97716567666599	6.31220152552594	0.0157752352741367
X9.320355	0.473785942028283	1.71454519402274e-07	5.35142257855715	5.59107889028576	0.071703778780029
X9.565417	0.4334585869074	2.24343821579094e-06	4.8235634261733	4.9986310501131	0.00016745023156026
X9.13760081	-0.354209996185714	0.000146813651124071	-3.84774647930876	3.93626224138975	-0.00165553011643956
X9.13760085	-0.271695214201804	0.00408879739778837	-2.89626511529012	2.93390309977231	-0.00998012919687412
X9.13760096	-0.276090551697281	0.00350532852964856	-2.94564743671442	2.98524894318148	-0.00833734038487382
X9.18665846	-0.384469674793457	3.37092878810402e-05	-4.21193997109625	4.32820195929728	-0.0299244106519881
X9.21010440	0.412246225702316	7.64274736048337e-06	4.55509621162882	4.70235747443564	0.0100930112100822
X9.21373034	0.360003995269184	0.000112014373857599	3.91676087943422	4.01014867963048	0.00584755121580825
X9.21651788	0.299596889831429	0.00147440821231651	3.21201912934243	3.26340379082024	0.044446074119924
NW_021964016.1.13526	0.316466962438452	0.000756546243130044	3.40572401752733	3.46701338844441	0.019189220580458
